                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5114,                 1.9755,                 1.5928,                0.85217,                0.71786,                0.79239,                0.44194,                 1.5516,                 1.0355,                 1.5559,               0.070221,              0.0033088,              0.0033088
                      2,                  1.216,                 1.1362,                 1.3487,                0.85706,                0.74951,                 0.8045,                0.49443,                 1.3818,                0.84114,                 1.4245,               0.040155,              0.0065764,              0.0065764
                      3,                 1.2555,                 1.1195,                  1.354,                0.85294,                0.72217,                0.78808,                0.40082,                 1.6761,                 1.1002,                 1.6528,               0.010023,               0.009778,               0.009778
                      4,                 1.2736,                 1.1527,                 1.3692,                0.89516,                0.72014,                0.80203,                0.48819,                  1.395,                0.93849,                 1.4292,               0.009703,               0.009703,               0.009703
                      5,                 1.2579,                  1.085,                 1.3546,                0.80861,                0.75575,                0.80528,                0.47148,                 1.4553,                0.99564,                 1.4585,               0.009703,               0.009703,               0.009703
                      6,                 1.2431,                 1.0662,                 1.3428,                 0.8792,                0.76538,                0.83618,                0.51596,                 1.3456,                0.83726,                 1.3937,               0.009604,               0.009604,               0.009604
                      7,                 1.2148,                 1.0221,                 1.3264,                0.83912,                0.75796,                0.83617,                0.53797,                 1.2878,                0.81673,                 1.3527,               0.009505,               0.009505,               0.009505
                      8,                 1.2013,                0.99732,                 1.3177,                0.86695,                0.75826,                0.84588,                 0.5291,                 1.3355,                 0.8353,                 1.3902,               0.009406,               0.009406,               0.009406
                      9,                 1.1928,                0.97656,                 1.3128,                0.90801,                0.77002,                0.85613,                0.55965,                 1.2485,                 0.7655,                 1.3436,               0.009307,               0.009307,               0.009307
                     10,                  1.177,                0.95527,                 1.3112,                 0.8875,                0.78709,                0.85186,                0.55738,                 1.2499,                0.74655,                 1.3481,               0.009208,               0.009208,               0.009208
                     11,                 1.1565,                0.92915,                  1.297,                0.90266,                0.80499,                0.87511,                 0.5699,                 1.2641,                0.73463,                 1.3447,               0.009109,               0.009109,               0.009109
                     12,                 1.1565,                0.92329,                 1.2913,                0.90549,                0.79623,                0.87169,                0.57316,                 1.2413,                0.70539,                 1.3345,                0.00901,                0.00901,                0.00901
                     13,                 1.1447,                0.89767,                 1.2912,                0.92145,                0.79309,                0.87717,                0.55873,                 1.3025,                0.69425,                 1.3413,               0.008911,               0.008911,               0.008911
                     14,                 1.1403,                0.87989,                 1.2693,                0.91783,                0.76647,                0.86677,                0.57357,                 1.2362,                0.70433,                  1.329,               0.008812,               0.008812,               0.008812
                     15,                 1.1139,                0.87173,                 1.2648,                0.90878,                0.80721,                0.88081,                0.57408,                  1.247,                0.67761,                 1.3212,               0.008713,               0.008713,               0.008713
                     16,                 1.1105,                0.85425,                 1.2586,                0.90627,                0.79585,                0.86734,                0.56606,                 1.2514,                0.69604,                  1.323,               0.008614,               0.008614,               0.008614
                     17,                 1.0895,                0.85254,                 1.2506,                0.89987,                 0.8267,                0.89626,                0.58834,                 1.2328,                0.66367,                 1.3156,               0.008515,               0.008515,               0.008515
                     18,                 1.0862,                 0.8256,                 1.2595,                0.92635,                0.79654,                0.88173,                0.57644,                 1.2472,                0.65116,                 1.3004,               0.008416,               0.008416,               0.008416
                     19,                 1.0863,                0.82047,                  1.246,                0.91541,                0.80644,                0.89194,                0.59333,                 1.2083,                0.65918,                 1.2925,               0.008317,               0.008317,               0.008317
                     20,                 1.0793,                0.80341,                 1.2382,                0.90607,                0.81823,                0.88735,                0.58942,                 1.2178,                0.65605,                 1.2809,               0.008218,               0.008218,               0.008218
                     21,                 1.0596,                0.79865,                 1.2318,                0.90815,                0.82234,                0.88677,                0.59198,                 1.1859,                0.63497,                 1.3042,               0.008119,               0.008119,               0.008119
                     22,                 1.0478,                0.78124,                 1.2275,                0.91541,                0.82695,                0.89957,                0.60506,                 1.1866,                0.63205,                 1.2801,                0.00802,                0.00802,                0.00802
                     23,                 1.0469,                0.77106,                 1.2224,                0.92714,                0.80793,                0.89133,                0.59462,                 1.1915,                0.62408,                 1.2981,               0.007921,               0.007921,               0.007921
                     24,                 1.0414,                0.75874,                 1.2164,                0.89539,                0.81452,                0.88151,                 0.5867,                 1.2027,                0.64448,                 1.2898,               0.007822,               0.007822,               0.007822
                     25,                 1.0213,                0.75088,                 1.2107,                 0.9154,                0.83582,                0.90744,                0.62099,                 1.1524,                0.59144,                 1.2635,               0.007723,               0.007723,               0.007723
                     26,                 1.0314,                0.74894,                 1.2167,                0.90807,                0.81867,                0.89665,                0.59917,                 1.1867,                0.63308,                 1.2717,               0.007624,               0.007624,               0.007624
                     27,                 1.0231,                0.74054,                 1.2061,                0.92802,                0.84259,                0.90829,                0.60508,                 1.2246,                0.60713,                 1.2924,               0.007525,               0.007525,               0.007525
                     28,                 1.0123,                0.72358,                 1.1991,                0.92183,                0.85131,                0.91613,                0.61025,                 1.1812,                0.59305,                 1.2569,               0.007426,               0.007426,               0.007426
                     29,                0.99625,                0.71994,                 1.1868,                0.90251,                0.84354,                0.89879,                0.60883,                  1.162,                0.59586,                 1.2827,               0.007327,               0.007327,               0.007327
                     30,                 1.0124,                0.70897,                 1.1904,                0.93376,                0.84584,                0.91099,                0.61863,                 1.1708,                0.57352,                 1.2651,               0.007228,               0.007228,               0.007228
                     31,                0.99137,                 0.7007,                 1.1746,                0.92382,                0.83436,                0.90228,                0.60382,                 1.1847,                0.58595,                 1.2791,               0.007129,               0.007129,               0.007129
                     32,                0.98272,                0.68377,                 1.1765,                0.92281,                0.84348,                0.90641,                 0.6181,                 1.1611,                0.58289,                 1.2685,                0.00703,                0.00703,                0.00703
                     33,                  0.982,                0.67971,                 1.1778,                0.94107,                0.83064,                0.90544,                0.60816,                 1.1781,                 0.5823,                 1.2582,               0.006931,               0.006931,               0.006931
                     34,                0.96677,                 0.6776,                 1.1782,                0.92137,                0.84084,                0.90815,                0.62383,                 1.1464,                0.57175,                 1.2598,               0.006832,               0.006832,               0.006832
                     35,                0.95452,                 0.6676,                 1.1704,                0.92353,                0.83284,                 0.9061,                0.61098,                 1.1816,                0.57602,                 1.2894,               0.006733,               0.006733,               0.006733
                     36,                0.96462,                0.66814,                 1.1662,                0.94179,                0.83147,                0.90061,                0.61599,                 1.1405,                0.56999,                 1.2493,               0.006634,               0.006634,               0.006634
                     37,                0.94014,                0.66139,                 1.1607,                0.92934,                0.83153,                 0.9035,                0.61312,                 1.1685,                0.58103,                   1.27,               0.006535,               0.006535,               0.006535
                     38,                0.93968,                0.64759,                 1.1567,                0.91468,                0.85019,                0.91082,                0.62186,                 1.1709,                0.56835,                 1.2695,               0.006436,               0.006436,               0.006436
                     39,                0.94401,                0.65115,                 1.1529,                0.92091,                0.85374,                0.91335,                 0.6271,                 1.1354,                0.57555,                 1.2519,               0.006337,               0.006337,               0.006337
                     40,                0.91941,                0.63259,                 1.1444,                0.91762,                0.84702,                0.91366,                0.62249,                  1.153,                0.56719,                 1.2524,               0.006238,               0.006238,               0.006238
                     41,                0.91348,                0.62674,                 1.1468,                0.91576,                0.84097,                0.91055,                0.62135,                 1.1516,                0.56073,                 1.2638,               0.006139,               0.006139,               0.006139
                     42,                0.91912,                0.62601,                 1.1442,                0.92864,                0.84318,                0.90879,                0.63342,                 1.1176,                0.54426,                 1.2387,                0.00604,                0.00604,                0.00604
                     43,                 0.9129,                0.61704,                  1.146,                0.92475,                0.85497,                0.91354,                0.62459,                 1.1508,                0.56881,                 1.2735,               0.005941,               0.005941,               0.005941
                     44,                 0.8983,                0.61416,                 1.1311,                0.91782,                0.84765,                0.90476,                0.62349,                 1.1389,                0.55054,                 1.2509,               0.005842,               0.005842,               0.005842
                     45,                0.89147,                0.59744,                 1.1288,                0.91166,                0.86045,                 0.9181,                0.63141,                 1.1442,                0.53948,                 1.2579,               0.005743,               0.005743,               0.005743
                     46,                0.89393,                0.59586,                 1.1248,                0.92178,                0.83199,                0.90154,                0.62427,                  1.144,                0.56302,                 1.2698,               0.005644,               0.005644,               0.005644
                     47,                0.87283,                0.59253,                 1.1284,                0.93329,                0.86033,                0.92107,                0.62777,                 1.1549,                0.53447,                 1.2698,               0.005545,               0.005545,               0.005545
                     48,                0.86898,                 0.5826,                 1.1116,                0.91451,                0.87402,                0.92014,                0.63212,                 1.1571,                0.53794,                 1.2567,               0.005446,               0.005446,               0.005446
                     49,                0.87376,                0.57383,                 1.1058,                0.93684,                0.85336,                0.91857,                0.63816,                 1.1179,                0.52678,                 1.2331,               0.005347,               0.005347,               0.005347
                     50,                0.85718,                0.57163,                 1.1107,                0.91654,                0.86899,                0.91709,                0.63645,                 1.1422,                0.53885,                 1.2473,               0.005248,               0.005248,               0.005248
                     51,                0.85685,                0.56607,                 1.1007,                0.93292,                0.85366,                  0.916,                0.63119,                 1.1395,                0.53612,                 1.2524,               0.005149,               0.005149,               0.005149
                     52,                0.83985,                0.55255,                 1.1042,                0.93011,                0.85957,                0.92166,                0.63515,                 1.1548,                0.54174,                 1.2497,                0.00505,                0.00505,                0.00505
                     53,                0.83831,                0.55002,                 1.0913,                0.93457,                0.86214,                0.92259,                0.63977,                 1.1351,                0.52695,                 1.2449,               0.004951,               0.004951,               0.004951
                     54,                0.82527,                0.54065,                 1.0883,                0.93276,                0.85491,                0.92084,                0.63114,                 1.1515,                0.52487,                 1.2618,               0.004852,               0.004852,               0.004852
                     55,                0.82711,                0.54414,                 1.0839,                0.91021,                0.87815,                0.91881,                0.63348,                 1.1435,                0.52276,                  1.246,               0.004753,               0.004753,               0.004753
                     56,                  0.819,                0.53667,                 1.0817,                0.90901,                0.86924,                0.91282,                0.63303,                 1.1385,                0.52835,                 1.2712,               0.004654,               0.004654,               0.004654
                     57,                0.83166,                0.53909,                 1.0855,                 0.9143,                0.87326,                0.92179,                0.64733,                 1.1081,                0.52348,                 1.2286,               0.004555,               0.004555,               0.004555
                     58,                0.80862,                0.52531,                 1.0697,                0.92049,                0.86334,                0.92163,                0.63722,                 1.1334,                0.52125,                 1.2504,               0.004456,               0.004456,               0.004456
                     59,                0.81085,                0.52683,                 1.0744,                0.91961,                0.87447,                0.91787,                0.64423,                 1.1071,                0.51374,                 1.2269,               0.004357,               0.004357,               0.004357
                     60,                 0.7958,                0.51555,                 1.0728,                0.90484,                0.88341,                0.92033,                0.64208,                 1.1202,                0.51938,                 1.2542,               0.004258,               0.004258,               0.004258
                     61,                0.79365,                0.51467,                 1.0611,                0.93861,                 0.8588,                0.92657,                0.64485,                 1.1282,                0.51276,                 1.2434,               0.004159,               0.004159,               0.004159
                     62,                0.78451,                0.50711,                 1.0567,                0.93175,                0.86964,                0.92213,                0.64258,                 1.1348,                0.51913,                 1.2465,                0.00406,                0.00406,                0.00406
                     63,                0.78691,                0.50504,                 1.0555,                0.92914,                 0.8688,                0.92086,                0.64161,                 1.1233,                0.51796,                 1.2396,               0.003961,               0.003961,               0.003961
                     64,                0.77368,                0.49462,                 1.0498,                0.91523,                0.88193,                0.92165,                0.64507,                   1.13,                0.51467,                 1.2469,               0.003862,               0.003862,               0.003862
                     65,                0.76146,                0.49238,                 1.0516,                0.94201,                0.85548,                0.92797,                0.64666,                 1.1246,                0.51517,                 1.2489,               0.003763,               0.003763,               0.003763
                     66,                0.76225,                 0.4926,                 1.0531,                0.93219,                0.86436,                0.91906,                0.63987,                 1.1307,                0.51965,                 1.2626,               0.003664,               0.003664,               0.003664
                     67,                0.76529,                0.49097,                  1.051,                0.92495,                0.87946,                0.92294,                0.63709,                 1.1194,                0.50578,                  1.252,               0.003565,               0.003565,               0.003565
                     68,                0.75062,                0.47939,                 1.0343,                 0.9287,                0.87401,                0.92259,                0.64584,                 1.1085,                0.50778,                 1.2358,               0.003466,               0.003466,               0.003466
                     69,                0.75273,                0.47384,                 1.0422,                0.92205,                0.87525,                0.92069,                0.64628,                 1.1077,                0.51747,                 1.2528,               0.003367,               0.003367,               0.003367
                     70,                0.73409,                0.46176,                 1.0355,                0.92777,                0.87264,                0.92356,                0.64648,                 1.1188,                0.51303,                 1.2451,               0.003268,               0.003268,               0.003268
                     71,                0.72931,                 0.4691,                 1.0301,                0.92421,                0.87639,                  0.927,                0.65075,                  1.107,                0.50059,                 1.2387,               0.003169,               0.003169,               0.003169
                     72,                 0.7395,                0.46989,                 1.0338,                0.92644,                0.87079,                0.92112,                0.64508,                 1.1229,                0.51889,                 1.2456,                0.00307,                0.00307,                0.00307
                     73,                0.72657,                 0.4557,                  1.029,                0.91342,                0.88719,                0.92806,                0.64658,                 1.1249,                0.50051,                 1.2398,               0.002971,               0.002971,               0.002971
                     74,                0.71837,                0.45407,                 1.0265,                0.93862,                0.86659,                0.92419,                0.65041,                  1.116,                0.50638,                 1.2446,               0.002872,               0.002872,               0.002872
                     75,                0.70594,                0.45391,                 1.0208,                 0.9352,                0.87009,                0.92604,                0.64769,                 1.1171,                0.51187,                 1.2506,               0.002773,               0.002773,               0.002773
                     76,                 0.7059,                0.45001,                 1.0134,                0.93598,                0.87253,                0.92345,                0.64357,                 1.1261,                0.50058,                 1.2412,               0.002674,               0.002674,               0.002674
                     77,                0.69856,                0.44601,                 1.0081,                0.93513,                  0.871,                0.92669,                0.64792,                 1.1244,                0.50078,                 1.2581,               0.002575,               0.002575,               0.002575
                     78,                0.69192,                0.43435,                 1.0062,                 0.9444,                0.87097,                0.93012,                0.64993,                 1.1144,                0.48718,                 1.2411,               0.002476,               0.002476,               0.002476
                     79,                0.68405,                0.43159,                 1.0062,                0.93903,                0.86542,                0.92557,                0.64753,                 1.1173,                0.50585,                 1.2515,               0.002377,               0.002377,               0.002377
                     80,                0.67827,                0.42499,                 1.0021,                0.94937,                  0.859,                0.92586,                0.64585,                 1.1163,                0.50437,                 1.2697,               0.002278,               0.002278,               0.002278
                     81,                0.66521,                 0.4275,                 1.0012,                0.94928,                0.86861,                0.92612,                 0.6516,                 1.1133,                0.49982,                 1.2549,               0.002179,               0.002179,               0.002179
                     82,                0.65482,                0.41507,                 0.9938,                0.92469,                0.88211,                0.92617,                0.65649,                 1.0981,                0.49454,                 1.2437,                0.00208,                0.00208,                0.00208
                     83,                0.65892,                0.41389,                0.99336,                0.91594,                0.88834,                0.92986,                0.65624,                 1.1139,                0.49821,                 1.2593,               0.001981,               0.001981,               0.001981
                     84,                0.65524,                0.40866,                0.99165,                 0.9265,                0.87861,                0.93008,                0.65525,                 1.1068,                0.49329,                 1.2571,               0.001882,               0.001882,               0.001882
                     85,                0.65295,                0.41074,                0.99303,                0.92912,                0.88393,                0.93032,                0.65798,                 1.0979,                0.49401,                 1.2445,               0.001783,               0.001783,               0.001783
                     86,                0.65093,                0.41105,                0.99265,                0.92679,                0.88673,                0.92942,                0.65462,                 1.1089,                0.49221,                   1.25,               0.001684,               0.001684,               0.001684
                     87,                0.64139,                0.40865,                0.98847,                0.91902,                0.88769,                0.92897,                0.65958,                  1.111,                0.49136,                 1.2445,               0.001585,               0.001585,               0.001585
                     88,                0.63294,                0.40451,                0.98312,                0.92363,                0.88527,                0.92871,                0.65358,                 1.1095,                0.48862,                 1.2567,               0.001486,               0.001486,               0.001486
                     89,                0.63407,                0.39999,                0.98002,                0.93377,                0.88441,                0.92687,                0.65201,                 1.1192,                0.48718,                 1.2711,               0.001387,               0.001387,               0.001387
                     90,                0.63642,                0.40078,                0.98183,                0.93492,                0.88596,                0.93007,                0.65494,                 1.1097,                0.48759,                  1.268,               0.001288,               0.001288,               0.001288
                     91,                0.62471,                0.33384,                0.96203,                0.93107,                0.87204,                0.92075,                0.64431,                 1.1155,                0.50001,                 1.2667,               0.001189,               0.001189,               0.001189
                     92,                0.60596,                0.32098,                0.95812,                 0.9362,                0.87594,                0.92479,                0.64822,                 1.1166,                0.49541,                 1.2767,                0.00109,                0.00109,                0.00109
                     93,                0.59266,                0.31586,                0.95125,                 0.9269,                0.87939,                0.92361,                0.64896,                  1.114,                 0.4954,                 1.2814,               0.000991,               0.000991,               0.000991
                     94,                0.57828,                0.30892,                0.94371,                0.93201,                0.87872,                0.92582,                0.65242,                 1.1051,                0.49236,                 1.2767,               0.000892,               0.000892,               0.000892
                     95,                0.57397,                0.30791,                0.94229,                0.93807,                0.87018,                0.92476,                0.65176,                 1.1173,                0.49572,                 1.2877,               0.000793,               0.000793,               0.000793
                     96,                0.57153,                0.30675,                0.94146,                0.93321,                0.87642,                0.92726,                0.65468,                 1.1113,                0.49175,                  1.284,               0.000694,               0.000694,               0.000694
                     97,                0.55819,                0.29926,                0.93309,                0.93033,                0.88221,                0.92622,                0.65365,                 1.1066,                0.48915,                 1.2842,               0.000595,               0.000595,               0.000595
                     98,                  0.552,                 0.2965,                0.92733,                0.93006,                0.87985,                0.92543,                0.65363,                 1.1056,                0.49572,                 1.2883,               0.000496,               0.000496,               0.000496
                     99,                0.54908,                0.29236,                0.92937,                0.92873,                0.88067,                0.92585,                0.65372,                 1.1096,                 0.4919,                 1.2894,               0.000397,               0.000397,               0.000397
                    100,                0.54668,                0.29371,                0.92674,                0.93237,                0.88138,                 0.9265,                0.65565,                 1.0998,                0.48994,                  1.287,               0.000298,               0.000298,               0.000298
